   10.2326    45.5649     0.1525     0.3616     0.0677     0.0869     0.0328 BRIX
   14.8458    37.7889     0.1655     3.3882     0.2926     0.3203     0.0667 BRON
   12.0841    46.1000    -0.5925     1.0414     0.1314     0.1858     0.0937 BRSE
    9.7249    44.2364     0.1462     0.2740     0.1369     0.3037     0.2543 BRU1
    4.3592    50.7978    -0.3117    -0.0912     0.0212     0.0263     0.1180 BRUS
   13.8153    42.2141     2.4265     4.0516     0.2580     0.2912    -0.1620 BSSI
   14.5940    41.5461     0.6303     3.2241     0.0603     0.0923     0.1234 BSSO
   11.2783    45.2578    -0.2312     1.4124     0.1287     0.2358     0.2556 BTAC
   26.1258    44.4639    -0.2963    -1.4253     0.0319     0.0342     0.0878 BUCU
    9.6999    40.7100     0.4765     0.3580     1.2703     1.1179     0.0584 BUDO
   15.3777    40.0782    -0.4088     2.2923     0.0978     0.1101     0.1943 BULG
    7.1522    45.1368     0.2192    -0.2739     0.2192     0.5199     0.1522 BUSL
    9.1182    39.2383     0.0157     0.1533     0.2264     0.4528     0.3151 CA05
    9.0002    39.0111    -0.0485     0.1523     0.2022     0.2637     0.1185 CA02
    9.1339    39.5381    -0.1835     0.2417     0.1428     0.3155     0.3262 CA04
   14.6784    41.5604     1.3758     2.8841     0.1748     0.3072     0.3270 CABA
   16.2737    41.0776     1.0656     4.2622     0.0410     0.0570     0.0707 CADM
   15.2366    41.0281    -0.1942     3.2092     0.0928     0.1089     0.1234 CAFE
   11.9662    43.3292     0.5074     1.9267     0.1433     0.0951     0.0647 CAFI
   11.9392    45.6703    -0.2155     1.1338     0.2462     0.3473     0.1818 CAFV
   14.5141    37.2068    -2.4314     4.7701     0.2784     0.5216     0.0200 CAGI
    8.9727    39.1359     0.0014     0.1621     0.0174     0.0236     0.2353 CAGL
    8.9727    39.1359    -0.1300     0.2217     0.0631     0.1453     0.3315 CAGZ
   12.2479    43.4671     0.1929     2.0113     0.1760     0.3612     0.2391 CAIE
   16.4391    46.3871     0.8984     0.5727     0.2621     0.4654     0.1415 CAKO
   11.1643    43.8678     0.7040     1.8894     0.1141     0.1707     0.1994 CALA
   13.0708    43.1439     1.1398     4.9611     0.2817     0.3427    -0.0206 CAM1
   13.1240    43.1120     1.6979     3.1148     0.0570     0.0770     0.0268 CAME
    8.2805    44.4053     0.2462     0.1155     0.1506     0.3002     0.1563 CAMN
   16.4492    39.3402     1.1278     2.9546     0.1213     0.1589     0.0957 CAMO
   12.7449    37.6292    -1.1329     2.7762     0.4588     0.5274     0.0445 CAMP
   11.9775    43.2589    -0.1661     1.6844     0.1218     0.2528     0.2909 CAMU
    8.2928    44.7223     0.5352     0.0109     0.1465     0.4287     0.3676 CANL
   12.4350    46.0083     0.1199     0.6058     0.0679     0.0910    -0.0048 CANV
   13.4844    42.2895    -0.4218     2.3262     0.1598     0.1578     0.0597 CAOC
   14.7396    38.1574    -0.6838     6.9613     0.2425     0.3251     0.2573 CAPO
   16.2114    39.2534     0.9985     3.4354     0.1168     0.2429     0.1905 CAR1
   13.9742    41.1947    -1.1726     2.0814     0.1764     0.2594     0.1588 CARI
   16.2113    39.2537     0.5035     3.5133     0.1246     0.1754     0.1094 CARO
   10.4265    45.3682     0.1750     0.8024     0.0962     0.1933     0.2180 CARP
   10.0809    44.0690    -0.3253    -0.2495     0.3020     0.3692     0.0293 CARR
    8.6802    46.0423    -0.0452     0.2250     0.0649     0.0810     0.0344 CARZ
   14.9409    40.2689    -0.8414     1.7937     0.2260     0.2965     0.2312 CASY
   -9.4185    38.6934    -0.5953     0.5319     0.0733     0.0957    -0.1329 CASC
   13.5439    43.4645     1.6289     3.4031     0.1685     0.3184     0.3273 CASF
   10.3005    45.4710     0.5651     1.0691     0.3159     0.4238    -0.0418 CASN
   10.8652    42.7908    -0.5843     0.8492     0.1855     0.2549     0.1768 CASP
   18.3473    39.8333     0.1934     3.4876     0.4234     0.4982     0.0121 CASR
   13.8304    41.4929    -0.2750     1.2007     0.2834     0.3216    -0.0053 CASS
   10.4053    44.4316     0.4699     2.1358     0.0788     0.1485     0.1730 CAST
   16.2049    39.8103     0.3718     3.4174     0.2371     0.3967     0.3516 CASV
   16.5800    38.9285     1.5362     2.3206     0.7455     0.6881    -0.0108 CAT1
    9.1190    45.7432     0.0777     0.4581     0.4441     0.5442     0.0073 CATU
   16.5799    38.9285     1.8226     2.8801     0.5499     0.6434    -0.0039 CATZ
   14.7119    40.6980    -1.1779     0.7187     0.3957     0.8907    -0.0033 CAV4
   12.5827    45.4794     0.1435     2.3066     0.0745     0.1233     0.1875 CAVA
   16.2132    39.8155    -0.5917     3.3580     0.2759     0.5324     0.0263 CAVI
   16.7756    39.2262     1.8744     3.3035     0.1404     0.1665     0.1091 CCRI
   13.7201    42.3675     0.6769     4.4576     0.3206     0.4102     0.0178 CDRA
   15.3047    40.4897    -1.4238     1.7382     0.0790     0.0575     0.0754 CDRU
   10.5266    43.3110    -0.1339     0.1844     0.2001     0.2959     0.1929 CECI
   10.8410    45.5246    -0.9230     0.6410     0.2809     0.5848     0.0340 CEL2
   16.5087    39.4027     1.1545     3.0067     0.6467     0.7440     0.0056 CELI
   15.2416    46.2418     0.5971     1.0490     0.1128     0.1629     0.1802 CELJ
   15.8939    38.2603     0.3708     2.4940     0.1320     0.1850     0.1181 CELL
   14.0180    41.5977     2.0953     3.4056     0.0968     0.1163     0.0180 CERA
   12.9818    41.9491    -0.7904     1.2576     0.1269     0.1647     0.1849 CERT
   12.9046    43.0050     0.3063     3.3598     0.1036     0.1417     0.1160 CESI
   15.9546    39.5287     0.4039     2.8425     0.1210     0.1903     0.2914 CETR
   12.2655    45.2065     0.4002     1.7275     0.3091     0.3842     0.1150 CGIA
    7.6238    45.7530    -0.5038    -0.3874     0.3095     0.4419     0.0979 CHA1
   11.2814    45.5427    -0.4630     1.8165     0.3017     0.6274     0.0710 CHI4
    9.4013    46.3199    -0.1844     0.5650     0.1370     0.1839     0.1102 CHIA
   14.1450    42.3853     0.8595     2.3640     0.1651     0.3248    -0.0162 CHIE
    9.3235    44.3204     0.2473     0.3040     0.1222     0.2672     0.2618 CHIV
    8.8179    40.7485    -0.1276     0.5096     0.3572     0.7658     0.0195 CIAR
   12.0051    42.9522    -0.6322     1.4641     0.2321     0.3498     0.2248 CIPV
   12.8294    41.5840    -1.5618     0.2897     0.4732     0.5598     0.0081 CIST
   12.2479    43.4671     0.3283     2.3362     0.1336     0.2010     0.2116 CITT
   11.6280    43.5845    -0.0588     1.9955     0.2894     0.3502     0.0497 CIUF
   11.7891    42.0962    -1.1580     0.5772     0.1769     0.3697     0.3586 CVTV
    6.9271    44.2484     2.1943     1.5243     0.0992     0.1365     0.2448 CLAP
   15.3029    40.3179    -0.5623     1.5440     0.0900     0.0853     0.1144 CMPR
   14.4559    41.8692    -2.5313     5.2183     0.1225     0.1396     0.0363 CMRA
   12.1120    44.8367     0.2311     1.9577     0.0934     0.1466     0.1813 CODI
   12.9791    45.9585     0.0402     2.1214     0.0539     0.0789     0.0999 CODR
    9.3805    46.1389    -0.7071     1.7721     0.1176     0.1630     0.0741 COLI
   10.2160    44.7528     0.2717     2.1606     0.1186     0.1607     0.1629 COLL
   16.4222    40.1934     0.8684     4.1571     0.2690     0.3762     0.2239 COLR
   16.5700    38.8567     1.9583     2.8131     0.3506     0.4084     0.0325 COMA
    9.0956    45.8022     0.0052     0.2370     0.0627     0.0809     0.1156 COMO
   11.0091    44.9217     0.1517     2.8758     0.3658     0.4437    -0.0005 CONC
